Historical_N,omega,epsilon_N,simulation_id,n_estimators,max_depth,Pred_MSE,Train_Cost,Test_Cost,Service_Level,Time
25,0.0,0.0,0,10,15,0.0,203.6414069,211.7151794,78.299,0.277280331
25,0.0,0.0,1,150,10,0.0,206.3877736,208.4923415,91.708,0.27782011
25,0.0,0.0,2,50,10,0.0,204.2714928,213.9568569,82.179,0.276998043
25,0.0,0.0,3,40,10,0.0,202.7152267,212.1258448,82.5,0.277703047
25,0.0,0.0,4,150,5,0.0,208.4451376,207.8311054,93.192,0.276576519
25,0.0,0.0,5,20,15,0.0,204.657888,209.8349604,83.837,0.276803017
25,0.0,0.0,6,10,15,0.0,207.2317995,211.3802864,89.119,0.276699066
25,0.0,0.0,7,20,5,0.0,202.9960955,211.0813961,82.23,0.276441574
25,0.0,0.0,8,150,15,0.0,207.8856064,210.5210143,90.612,0.277190447
25,0.0,0.0,9,30,10,0.0,205.5191804,208.023575,87.609,0.277793884
25,0.0,0.0,10,50,10,0.0,207.3342427,208.9224012,90.637,0.277607441
25,0.0,0.0,11,150,5,0.0,204.2433443,213.5426973,82.098,0.277137518
25,0.0,0.0,12,40,10,0.0,205.2518583,209.9276417,88.379,0.278426886
25,0.0,0.0,13,40,15,0.0,204.2830066,211.8892564,84.387,0.278141737
25,0.0,0.0,14,10,15,0.0,205.0360671,210.2863888,85.058,0.277719975
25,0.0,0.0,15,40,5,0.0,209.1184796,208.1854371,90.741,0.278345585
25,0.0,0.0,16,30,15,0.0,206.8772802,208.4812014,89.313,0.277298927
25,0.0,0.0,17,30,15,0.0,204.3530829,209.8518792,84.098,0.275648594
25,0.0,0.0,18,30,10,0.0,203.7493126,213.9564903,83.571,0.275730133
25,0.0,0.0,19,30,5,0.0,204.132222,209.3183697,82.458,0.277721643
25,0.0,0.0,20,20,15,0.0,205.0646569,209.1047272,87.747,0.277285099
25,0.0,0.0,21,20,5,0.0,202.9840526,210.9897895,82.343,0.27537632
25,0.0,0.0,22,20,10,0.0,204.4570737,208.2244878,86.099,0.276561737
25,0.0,0.0,23,40,5,0.0,204.491266,210.7492063,85.504,0.276828051
25,0.0,0.0,24,10,10,0.0,208.2578053,208.4569054,90.591,0.277831554
25,0.0,0.0,25,10,10,0.0,204.6100916,209.0911988,84.9,0.278488398
25,0.0,0.0,26,10,10,0.0,205.8127821,211.3236398,86.235,0.276517868
25,0.0,0.0,27,30,5,0.0,204.0991642,219.4601687,74.73,0.275359631
25,0.0,0.0,28,10,10,0.0,207.7241061,208.1784277,90.851,0.278328896
25,0.0,0.0,29,50,15,0.0,204.8487601,210.8367112,88.392,0.277017593
25,0.0,0.001,0,100,15,0.0,203.6476761,211.7054707,78.313,0.276659012
25,0.0,0.001,1,30,5,0.0,206.3940644,208.491592,91.718,0.276656866
25,0.0,0.001,2,20,5,0.0,204.2778436,213.9454115,82.199,0.27883935
25,0.0,0.001,3,50,10,0.0,202.7216462,212.1175859,82.513,0.27994895
25,0.0,0.001,4,30,10,0.0,208.4514961,207.8322478,93.203,0.279325247
25,0.0,0.001,5,50,15,0.0,204.6641711,209.8291053,83.85,0.279069901
25,0.0,0.001,6,150,5,0.0,207.2381617,211.3720225,89.129,0.279624701
25,0.0,0.001,7,150,5,0.0,203.00249,211.0739121,82.245,0.279959202
25,0.0,0.001,8,100,10,0.0,207.89189,210.5144463,90.625,0.279014826
25,0.0,0.001,9,50,5,0.0,205.5255696,208.0200757,87.629,0.279424906
25,0.0,0.001,10,40,15,0.0,207.3406147,208.9199263,90.651,0.280509949
25,0.0,0.001,11,150,5,0.0,204.2496994,213.532545,82.111,0.281052828
25,0.0,0.001,12,30,10,0.0,205.2582543,209.9217467,88.388,0.279465199
25,0.0,0.001,13,30,5,0.0,204.2891749,211.880777,84.4,0.278602839
25,0.0,0.001,14,10,5,0.0,205.0424308,210.2813839,85.077,0.2790308
25,0.0,0.001,15,20,10,0.0,209.1248249,208.1853348,90.749,0.278419733
25,0.0,0.001,16,150,5,0.0,206.8836041,208.4784668,89.326,0.276432753
25,0.0,0.001,17,40,10,0.0,204.3594162,209.8477911,84.104,0.27653861
25,0.0,0.001,18,30,5,0.0,203.7556591,213.9458253,83.586,0.277302742
25,0.0,0.001,19,40,15,0.0,204.1385701,209.3133585,82.476,0.27792716
25,0.0,0.001,20,150,10,0.0,205.0710065,209.1018053,87.766,0.275588751
25,0.0,0.001,21,100,15,0.0,202.9904407,210.9816534,82.357,0.276561737
25,0.0,0.001,22,150,10,0.0,204.4634366,208.2219053,86.112,0.275473833
25,0.0,0.001,23,10,10,0.0,204.4976133,210.7414553,85.517,0.276611328
25,0.0,0.001,24,50,10,0.0,208.2641143,208.4552574,90.601,0.27806139
25,0.0,0.001,25,20,15,0.0,204.6164465,209.0869035,84.918,0.277541399
25,0.0,0.001,26,50,5,0.0,205.8191169,211.3156495,86.251,0.277563334
25,0.0,0.001,27,10,10,0.0,204.1054696,219.4468997,74.746,0.276317835
25,0.0,0.001,28,150,15,0.0,207.7304878,208.1766882,90.865,0.280052423
25,0.0,0.001,29,100,5,0.0,204.8550983,210.8299268,88.403,0.276779175
25,0.0,0.003162278,0,40,10,0.0,203.6612322,211.6845331,78.343,0.276459217
25,0.0,0.003162278,1,100,5,0.0,206.4076669,208.4899927,91.737,0.277647495
25,0.0,0.003162278,2,20,5,0.0,204.291576,213.9207221,82.233,0.275437832
