Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Date
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001,205.7049036103893,210.5449039503385,2024-12-21 15:08:31
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0012589254117941675,206.1189914749972,210.49359582235778,2024-12-21 15:09:08
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001584893192461114,206.12580521029534,210.13279466957508,2024-12-21 15:09:45
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001995262314968879,205.91822136673554,210.09124069447145,2024-12-21 15:10:22
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0025118864315095794,206.18081554251296,210.07519661453733,2024-12-21 15:10:59
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0031622776601683794,206.0787522549422,209.93847861528528,2024-12-21 15:11:36
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.003981071705534973,205.86807145289748,210.35328288276153,2024-12-21 15:12:12
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.005011872336272725,205.78681235425978,210.34457913357568,2024-12-21 15:12:49
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.00630957344480193,206.0376064024665,209.96384102561504,2024-12-21 15:13:26
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.007943282347242814,205.93631188015007,210.3598794921127,2024-12-21 15:14:03
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01,206.21090466407375,210.01931935191652,2024-12-21 15:14:40
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.012589254117941675,205.84390535239947,210.11562384332603,2024-12-21 15:15:17
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01584893192461114,206.29706894304724,210.21967489640835,2024-12-21 15:15:54
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0199526231496888,205.708636365009,210.47356259900963,2024-12-21 15:16:31
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.025118864315095808,206.53042199216844,210.198711235691,2024-12-21 15:17:07
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.03162277660168379,206.13606958061948,210.2502993270777,2024-12-21 15:17:44
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.039810717055349734,206.20394176661102,210.4493210884879,2024-12-21 15:18:21
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.05011872336272725,206.01811323917656,210.43812874826722,2024-12-21 15:18:58
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.06309573444801933,206.31908807563002,210.29158833900775,2024-12-21 15:19:35
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.07943282347242818,206.51733553104407,210.07215486388685,2024-12-21 15:20:11
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.1,206.26096404699985,209.9575645309335,2024-12-21 15:20:48
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.12589254117941676,206.36881113892105,209.94317529617646,2024-12-21 15:21:25
