Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Time,Date
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001,205.6360819402253,210.39455553793402,0.27672791481018066,2024-12-26 00:13:35
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0012589254117941675,205.63772399028477,210.3931747020457,0.27390575408935547,2024-12-26 00:14:03
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001584893192461114,205.6397912141939,210.3914373130848,0.27901124954223633,2024-12-26 00:14:30
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001995262314968879,205.64239370340292,210.38925198709487,0.27748894691467285,2024-12-26 00:14:58
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0025118864315095794,205.64567005667047,210.38650354847638,0.27640795707702637,2024-12-26 00:15:26
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0031622776601683794,205.64979476240347,210.383047599224,0.27748990058898926,2024-12-26 00:15:54
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.003981071705534973,205.65498749309853,210.37870340937897,0.2763094902038574,2024-12-26 00:16:22
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.005011872336272725,205.6615248073476,210.37324528921647,0.2816438674926758,2024-12-26 00:16:50
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.00630957344480193,205.66975488336465,210.366392418266,0.27554869651794434,2024-12-26 00:17:18
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.007943282347242814,205.68011610006022,210.35779404269647,0.27678704261779785,2024-12-26 00:17:46
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01,205.6931604113339,210.3490751988398,0.27537035942077637,2024-12-26 00:18:14
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.012589254117941675,205.7095824165565,210.33556156898752,0.27567124366760254,2024-12-26 00:18:41
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01584893192461114,205.7302570342561,210.31865980049054,0.27335047721862793,2024-12-26 00:19:09
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0199526231496888,205.7562857625006,210.29754303445844,0.27205395698547363,2024-12-26 00:19:37
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.025118864315095808,205.7890553522172,210.27202877804925,0.27687501907348633,2024-12-26 00:20:05
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.03162277660168379,205.83031134475004,210.23933082447235,0.27631044387817383,2024-12-26 00:20:33
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.039810717055349734,205.8822517169564,210.2028930909174,0.2747159004211426,2024-12-26 00:21:00
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.05011872336272725,205.94764599879215,210.15329372801665,0.27572154998779297,2024-12-26 00:21:28
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.06309573444801933,206.02998075037002,210.09234983398883,0.27785730361938477,2024-12-26 00:21:56
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.07943282347242818,206.1336447503025,210.033141127692,0.27477097511291504,2024-12-26 00:22:24
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.1,206.2641619133843,209.94589121012478,0.27793240547180176,2024-12-26 00:22:52
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.12589254117941676,206.4285051808203,209.84017488930687,0.2772200107574463,2024-12-26 00:23:20
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.15848931924611143,206.63545225691306,209.71822384037907,0.27820849418640137,2024-12-26 00:23:48
