100_0.12589249999999996_Train,100_0.12589249999999996_Test,100_0.15848927560943019_Train,100_0.15848927560943019_Test,100_0.19952618689121213_Train,100_0.19952618689121213_Test,100_0.2511886_Train,100_0.2511886_Test
206.18603046865496,207.74517885685492,206.3917928309321,207.67437154072388,206.65092343371273,207.60187215418043,206.9772940521085,207.53192088871467
206.66636498478468,207.37173125005992,206.87191374545768,207.3502278157643,207.13075943489034,207.35502440219247,207.16212290612302,207.34954267526894
208.4856320324005,207.30315572634373,208.69142748127234,207.28784100436656,208.93208893844184,207.27974242239912,208.09395719274954,207.2661735059539
206.827399548835,207.54012106216186,207.03433611195004,207.49659263846596,207.2949436186644,207.4579246763367,207.04797822880835,207.4155323994333
206.7779990184467,207.32161935968278,206.9844798174126,207.3061546511987,207.2445136243981,207.29951502850875,207.5720193194971,207.31039914044038
206.29976979551657,207.8483919234839,206.50586881321902,207.7763510727192,206.76541994666482,207.70092335279955,207.09231475584002,207.63060499886618
208.63664340159394,207.65536290849857,208.8428271325836,207.60254957464275,209.10152406329237,207.55194816063906,209.4286175771911,207.50078766173326
207.21084835720205,207.45561887323476,207.41708406092445,207.41647840757435,207.67681022498454,207.38190865076803,208.00392783945117,207.36027409497262
208.85847045347484,207.395429442378,209.0642738971592,207.38318321694246,209.32340218728103,207.383923415085,209.6498632063437,207.40768692352535
206.93312786477006,207.6282582866729,207.1392111976954,207.58680492766922,207.39874403989904,207.54971351606594,207.72561813003693,207.5245377830995
207.78703207755012,207.29664845994319,207.99249920018278,207.2720915608675,208.25125788216107,207.25563320976622,208.57715990559203,207.25658894702119
207.88367171911153,207.24776149392972,208.08945813105976,207.2328131683438,208.34861882496878,207.22892290481641,208.67260442332486,207.24424895500516
206.56747135264163,207.41298018500603,206.77300817370372,207.35608114836467,207.03185720322153,207.30363202910306,207.357877096821,207.26268048050432
206.39874377934518,207.5412522109975,206.60505008461985,207.47143907233988,206.8649326581823,207.39996241862556,207.19238347517168,207.33792430668817
205.76099637371598,207.63516451194775,205.96550681550428,207.56981870955426,206.22306450606874,207.5029752165196,206.54745181682776,207.44316725207892
207.44056529635336,207.36635397700405,207.64668307863516,207.3177387222095,207.9029701966901,207.27636729600084,208.21318784822174,207.2506518943213
205.99799527701157,207.49291919043074,206.40885036562977,207.44550097198515,206.66672518486573,207.39855932454114,206.99151272979253,207.3635648277997
206.85364305958814,207.53932634139093,207.0596262762782,207.4885775574396,207.31903416811457,207.4389911443077,207.64575268208475,207.40111027574488
207.89422245895395,207.33501088155342,208.0984089530137,207.3159689847682,208.3555542811944,207.30855276856795,208.67944891143898,207.31981614546072
206.0679672014232,207.5261159117178,206.27814344339237,207.47650248510286,206.53824053047236,207.42318490796256,206.86584653492866,207.38812365514798
207.52676646151633,207.3281389527922,207.73256077711972,207.30686754990285,207.97641488179198,207.29530832492472,207.68958928820214,207.27250605337235
206.6065307398635,207.3305398772301,206.81239130687598,207.28078609751486,207.07164826033693,207.23524013273217,207.39817737216683,207.2027646664853
207.16677841038575,207.38570908796376,207.37126049553132,207.36200844150247,207.62886167562127,207.34932785589817,207.95330665831912,207.35451498588492
206.53780439581206,207.37536862985388,206.74400549420193,207.3333886489981,207.00369864927535,207.2961602919512,207.33080595294913,207.27258862923733
206.86630257092804,207.5729789514429,207.07147842811213,207.5390404630824,207.32987261133098,207.5127453311273,207.6553133827479,207.4994528295465
206.4643647834784,207.36279259930086,206.66979423458065,207.32893058708828,206.92487050851676,207.30370106060576,206.97257030459,207.27899176662865
207.87703212297157,207.27947215231836,208.0838050299244,207.26695166163034,208.34420649823466,207.26393989039116,208.67219436791666,207.28186113783624
205.4483002630345,207.83085862159632,205.65488450901017,207.74498424867298,205.91505122203256,207.65455486113413,206.24273164063766,207.56750261670643
208.0945176322866,207.37270968436698,208.3041862970379,207.3462618250788,208.56437751187437,207.3213083626153,208.8744426869155,207.31490825843642
206.69180260690771,207.2748887469576,206.89703504127235,207.255044809142,207.13508583323014,207.24405100465972,207.46139009586574,207.25323762050064
