Historical_N,Evaluation_N,Num_Retailers,f,h,c,b,epsilon_N,Train_Average_Cost,Test_Average_Cost,Date
50,10000,3,0,0.05,0.25,0.5,0.001,19.28814886163916,22.556586066457683,2024-12-22 21:33:52
50,10000,3,0,0.05,0.25,0.5,0.001122018454301963,19.289591423979918,22.535229163471357,2024-12-22 21:34:07
50,10000,3,0,0.05,0.25,0.5,0.0012589254117941675,19.28978548491922,22.562066710531944,2024-12-22 21:34:23
50,10000,3,0,0.05,0.25,0.5,0.001412537544622754,19.290003224874383,22.540730017278797,2024-12-22 21:34:38
50,10000,3,0,0.05,0.25,0.5,0.001584893192461114,19.290749951473476,22.54236031182947,2024-12-22 21:34:53
50,10000,3,0,0.05,0.25,0.5,0.0017782794100389228,19.291024100618838,22.537622153121394,2024-12-22 21:35:09
50,10000,3,0,0.05,0.25,0.5,0.001995262314968879,19.29133170100012,22.551829511016816,2024-12-22 21:35:24
50,10000,3,0,0.05,0.25,0.5,0.00223872113856834,19.291930186022427,22.52609693906284,2024-12-22 21:35:40
50,10000,3,0,0.05,0.25,0.5,0.0025118864315095794,19.292317565918168,22.54596484337148,2024-12-22 21:35:55
50,10000,3,0,0.05,0.25,0.5,0.002818382931264455,19.293394350249137,22.543001724803645,2024-12-22 21:36:11
50,10000,3,0,0.05,0.25,0.5,0.0031622776601683794,19.294607244920204,22.55859577316764,2024-12-22 21:36:26
50,10000,3,0,0.05,0.25,0.5,0.0035481338923357532,19.29571042343969,22.524664879937713,2024-12-22 21:36:41
50,10000,3,0,0.05,0.25,0.5,0.003981071705534973,19.296324582445138,22.52638928587692,2024-12-22 21:36:57
50,10000,3,0,0.05,0.25,0.5,0.0044668359215096305,19.297248906494524,22.532252135600544,2024-12-22 21:37:12
50,10000,3,0,0.05,0.25,0.5,0.005011872336272725,19.29986672092568,22.51217472130475,2024-12-22 21:37:28
50,10000,3,0,0.05,0.25,0.5,0.005623413251903491,19.301898307716314,22.509562944393807,2024-12-22 21:37:43
50,10000,3,0,0.05,0.25,0.5,0.00630957344480193,19.304939818469858,22.488425820623657,2024-12-22 21:37:58
50,10000,3,0,0.05,0.25,0.5,0.00707945784384138,19.306667677064496,22.50972542608214,2024-12-22 21:38:14
50,10000,3,0,0.05,0.25,0.5,0.007943282347242814,19.308354033851263,22.526654700502917,2024-12-22 21:38:29
50,10000,3,0,0.05,0.25,0.5,0.008912509381337459,19.309912571758208,22.51987072176569,2024-12-22 21:38:45
50,10000,3,0,0.05,0.25,0.5,0.01,19.312606697073523,22.484527537452035,2024-12-22 21:39:00
50,10000,3,0,0.05,0.25,0.5,0.011220184543019636,19.315698553060276,22.502194289175883,2024-12-22 21:39:16
50,10000,3,0,0.05,0.25,0.5,0.012589254117941675,19.327429545268295,22.497455823989835,2024-12-22 21:39:31
50,10000,3,0,0.05,0.25,0.5,0.014125375446227547,19.33561264993772,22.491604184601485,2024-12-22 21:39:46
50,10000,3,0,0.05,0.25,0.5,0.01584893192461114,19.34100984342026,22.464434041947065,2024-12-22 21:40:02
50,10000,3,0,0.05,0.25,0.5,0.01778279410038923,19.346675132883707,22.451071585951446,2024-12-22 21:40:17
50,10000,3,0,0.05,0.25,0.5,0.0199526231496888,19.35974341268573,22.45732927424184,2024-12-22 21:40:33
50,10000,3,0,0.05,0.25,0.5,0.0223872113856834,19.37098178915623,22.447828649317547,2024-12-22 21:40:48
50,10000,3,0,0.05,0.25,0.5,0.025118864315095808,19.381624027894098,22.414880840271323,2024-12-22 21:41:04
50,10000,3,0,0.05,0.25,0.5,0.02818382931264455,19.39092087539906,22.41539912972748,2024-12-22 21:41:20
50,10000,3,0,0.05,0.25,0.5,0.03162277660168379,19.40836686781475,22.370010667897027,2024-12-22 21:41:35
50,10000,3,0,0.05,0.25,0.5,0.03548133892335755,19.419585879592283,22.36171596231653,2024-12-22 21:41:51
50,10000,3,0,0.05,0.25,0.5,0.039810717055349734,19.43468009470159,22.325431909034386,2024-12-22 21:42:06
50,10000,3,0,0.05,0.25,0.5,0.04466835921509633,19.450713694242538,22.316773360047904,2024-12-22 21:42:22
50,10000,3,0,0.05,0.25,0.5,0.05011872336272725,19.46829876759257,22.271905319977417,2024-12-22 21:42:37
50,10000,3,0,0.05,0.25,0.5,0.05623413251903491,19.48594279110274,22.2495925001801,2024-12-22 21:42:53
50,10000,3,0,0.05,0.25,0.5,0.06309573444801933,19.51468483945987,22.211839192760326,2024-12-22 21:43:09
